base_image,0
set,base_image,filename,index,shift_x,shift_y,scale_factor,rotation_angle
1,cropped_image_0001.jpg,cropped_image_0001.jpg,1,0,0,1.0,-0.0
1,cropped_image_0001.jpg,cropped_image_0002.jpg,2,0,0,1.3031481668012594,-5.94
1,cropped_image_0001.jpg,cropped_image_0003.jpg,3,0,0,1.4529528540807684,-9.0
cropped_image_0010.jpg,0,0,0,1.4529528540807684,-9.0
2,cropped_image_0002.jpg,cropped_image_0001.jpg,1,0,0,0.7673724488709717,-354.06
2,cropped_image_0002.jpg,cropped_image_0002.jpg,2,0,0,1.0,-0.0
2,cropped_image_0002.jpg,cropped_image_0003.jpg,3,0,0,1.1190074616777614,-3.06
2,cropped_image_0002.jpg,cropped_image_0004.jpg,4,0,0,1.2341414389742775,-5.94
cropped_image_0010.jpg,1,0,0,1.2341414389742775,-5.94
3,cropped_image_0003.jpg,cropped_image_0001.jpg,1,0,0,0.6882535776652329,-351.0
3,cropped_image_0003.jpg,cropped_image_0002.jpg,2,0,0,0.893649090150543,-356.94
3,cropped_image_0003.jpg,cropped_image_0003.jpg,3,0,0,1.0,-0.0
3,cropped_image_0003.jpg,cropped_image_0004.jpg,4,0,0,1.106896998932765,-3.06
3,cropped_image_0003.jpg,cropped_image_0005.jpg,5,0,0,1.2119610074218976,-5.94
cropped_image_0010.jpg,2,0,0,1.2119610074218976,-5.94
4,cropped_image_0004.jpg,cropped_image_0002.jpg,2,0,0,0.8102798985755817,-354.06
4,cropped_image_0004.jpg,cropped_image_0003.jpg,3,0,0,0.9034264262746835,-356.94
4,cropped_image_0004.jpg,cropped_image_0004.jpg,4,0,0,1.0,-0.0
4,cropped_image_0004.jpg,cropped_image_0005.jpg,5,0,0,1.09491760171943,-3.06
4,cropped_image_0004.jpg,cropped_image_0006.jpg,6,0,0,1.1901792105221705,-5.94
cropped_image_0010.jpg,3,0,0,1.1901792105221705,-5.94
5,cropped_image_0005.jpg,cropped_image_0003.jpg,3,0,0,0.8251090537369808,-354.06
5,cropped_image_0005.jpg,cropped_image_0004.jpg,4,0,0,0.9133107353737177,-356.94
5,cropped_image_0005.jpg,cropped_image_0005.jpg,5,0,0,1.0,-0.0
5,cropped_image_0005.jpg,cropped_image_0006.jpg,6,0,0,1.0870034499885142,-3.06
5,cropped_image_0005.jpg,cropped_image_0007.jpg,7,0,0,1.177298491239667,-5.94
cropped_image_0010.jpg,4,0,0,1.177298491239667,-5.94
6,cropped_image_0006.jpg,cropped_image_0004.jpg,4,0,0,0.8402096013433703,-354.06
6,cropped_image_0006.jpg,cropped_image_0005.jpg,5,0,0,0.9199602816445215,-356.94
6,cropped_image_0006.jpg,cropped_image_0006.jpg,6,0,0,1.0,-0.0
6,cropped_image_0006.jpg,cropped_image_0007.jpg,7,0,0,1.0791465023773619,-3.06
6,cropped_image_0006.jpg,cropped_image_0008.jpg,8,0,0,1.1603407846218812,-5.94
cropped_image_0010.jpg,5,0,0,1.1603407846218812,-5.94
7,cropped_image_0007.jpg,cropped_image_0005.jpg,5,0,0,0.8494022607189653,-354.06
7,cropped_image_0007.jpg,cropped_image_0006.jpg,6,0,0,0.9266582413018047,-356.94
7,cropped_image_0007.jpg,cropped_image_0007.jpg,7,0,0,1.0,-0.0
7,cropped_image_0007.jpg,cropped_image_0008.jpg,8,0,0,1.0752393507884686,-3.06
7,cropped_image_0007.jpg,cropped_image_0009.jpg,9,0,0,1.1519537489082834,-5.94
cropped_image_0010.jpg,6,0,0,1.1519537489082834,-5.94
8,cropped_image_0008.jpg,cropped_image_0006.jpg,6,0,0,0.8618157814093115,-354.06
8,cropped_image_0008.jpg,cropped_image_0007.jpg,7,0,0,0.9300254862014715,-356.94
8,cropped_image_0008.jpg,cropped_image_0008.jpg,8,0,0,1.0,-0.0
8,cropped_image_0008.jpg,cropped_image_0009.jpg,9,0,0,1.071346345410034,-3.06
8,cropped_image_0008.jpg,cropped_image_0010.jpg,10,0,0,1.1394867248375091,-5.94
cropped_image_0010.jpg,7,0,0,1.1394867248375091,-5.94
9,cropped_image_0009.jpg,cropped_image_0007.jpg,7,0,0,0.8680904080981625,-354.06
9,cropped_image_0009.jpg,cropped_image_0008.jpg,8,0,0,0.933404966829165,-356.94
9,cropped_image_0009.jpg,cropped_image_0009.jpg,9,0,0,1.0,-0.0
9,cropped_image_0009.jpg,cropped_image_0010.jpg,10,0,0,1.0674674350243707,-3.06
cropped_image_0010.jpg,8,0,0,1.0674674350243707,-3.06
10,cropped_image_0010.jpg,cropped_image_0008.jpg,8,0,0,0.8775881089291322,-354.06
10,cropped_image_0010.jpg,cropped_image_0009.jpg,9,0,0,0.9367967276464687,-356.94
10,cropped_image_0010.jpg,cropped_image_0010.jpg,10,0,0,1.0,-0.0
cropped_image_0010.jpg,9,0,0,1.0,-0.0
